steps,Classic,ReturnLess,SelfAvoiding
0,0.0,0.0,0.0
1,0.01,0.01,0.01
2,0.04,0.04,0.04
3,0.01,0.09,0.09
4,0.16,0.04,0.04
5,0.09,0.09,0.25
6,0.0,0.36,0.16
7,0.49,0.49,0.09
8,0.04,0.0,0.04
9,0.09,0.01,0.81
10,0.36,0.36,0.04
11,0.25,0.25,0.81
12,0.64,0.04,0.36
13,0.49,0.81,0.49
14,0.04,0.16,0.64
15,0.49,0.49,0.09
16,0.36,1.44,0.36
17,0.49,0.09,0.49
18,0.16,0.16,0.36
19,0.49,0.49,0.81
20,0.16,0.36,0.64
21,0.09,0.25,0.49
22,0.64,0.04,1.44
23,0.25,0.81,0.64
24,0.04,2.56,1.96
25,0.49,0.25,0.01
26,0.36,4.84,1.96
27,0.09,0.49,0.04
28,0.04,1.0,4.0
29,0.01,0.09,2.56
30,0.04,2.56,2.89
31,0.09,0.09,4.41
32,0.16,0.04,1.44
33,0.09,1.69,0.81
34,0.16,2.56,1.0
35,0.49,1.21,1.21
36,0.0,0.36,1.69
37,1.21,1.21,0.81
38,0.36,1.44,2.56
39,0.49,1.21,2.56
40,0.16,2.56,9.61
41,2.25,1.69,1.69
42,0.16,4.84,10.24
43,0.09,0.25,1.44
44,1.0,1.44,4.84
45,0.49,0.49,6.76
46,3.24,2.56,3.24
47,1.69,2.25,2.25
48,0.16,1.44,1.96
49,0.81,4.41,6.25
50,0.64,1.0,4.84
51,1.21,0.09,1.21
52,1.96,2.56,4.0
53,0.25,2.89,8.41
54,1.44,1.96,0.16
55,1.21,1.21,3.24
56,1.44,0.0,7.29
57,2.25,4.41,0.09
58,4.0,0.16,1.69
59,0.49,0.81,9.61
60,0.36,1.44,2.56
61,0.49,3.61,1.21
62,0.36,0.64,4.84
63,0.09,2.25,6.76
64,0.36,1.44,10.24
65,0.81,1.69,6.25
66,1.44,16.0,1.96
67,0.49,0.25,5.76
68,0.16,5.76,7.84
69,0.09,0.25,8.41
70,1.44,2.56,2.56
71,0.09,0.81,13.69
72,1.0,2.56,7.84
73,0.49,0.81,6.25
74,1.0,4.84,7.29
75,1.21,0.49,1.96
76,0.64,0.16,0.64
77,1.21,2.89,3.61
78,0.16,0.04,10.89
79,0.81,1.21,0.25
80,1.96,0.64,12.96
81,2.89,12.25,1.69
82,0.64,0.64,6.76
83,0.09,1.69,9.61
84,0.36,0.64,0.16
85,0.01,1.69,2.89
86,0.64,1.96,8.41
87,0.81,0.49,4.41
88,3.24,1.96,16.0
89,0.09,1.21,4.41
90,1.96,1.96,20.25
91,0.81,2.25,4.0
92,0.04,0.64,0.64
93,0.49,4.41,0.81
94,1.44,1.0,2.89
95,0.49,0.49,9.0
96,0.64,0.16,26.01
97,4.41,4.41,16.81
98,1.0,11.56,11.56
99,1.21,4.41,10.24
