steps,Classic,ReturnLess,SelfAvoiding
0,0.0,0.0,0.0
1,10.0,10.0,10.0
2,27.56,40.0,40.0
3,41.2,76.08,75.04
4,58.28,108.28,112.6
5,72.72,146.0,155.36
6,88.4,177.68,198.43
7,103.92,207.76,243.71
8,123.44,243.56,300.57
9,141.36,270.64,355.85
10,147.08,317.32,396.78
11,176.56,351.36,449.35
12,185.6,389.84,508.43
13,185.36,436.56,557.37
14,215.64,472.32,641.79
15,232.0,493.68,688.2
16,258.0,498.8,740.62
17,248.16,545.28,827.57
18,275.32,645.28,891.65
19,299.28,630.88,960.28
20,310.36,649.32,1021.52
21,311.52,676.96,1049.69
22,358.28,709.16,1129.98
23,354.16,754.96,1267.99
24,369.16,758.12,1277.49
25,405.2,854.08,1404.41
26,427.4,846.08,1537.17
27,429.44,972.56,1579.76
28,445.16,925.08,1649.27
29,456.56,964.64,1675.29
30,468.24,1025.16,1883.05
31,481.76,1026.4,1932.93
32,502.4,1075.04,1931.1
33,532.88,1091.84,2036.36
34,533.84,1162.4,2192.47
35,538.4,1214.8,2326.63
36,552.92,1123.88,2371.15
37,574.16,1221.12,2488.07
38,608.64,1272.24,2620.47
39,612.32,1307.44,2712.03
40,641.24,1311.08,2807.5
41,658.16,1422.0,2978.01
42,686.32,1409.04,3090.47
43,662.8,1392.0,3212.64
44,771.04,1448.68,3204.45
45,753.44,1494.4,3370.27
46,742.04,1538.6,3578.75
47,770.32,1534.64,3751.36
48,743.8,1519.28,3859.42
49,786.32,1622.64,3820.13
50,758.96,1691.96,4044.24
51,821.92,1627.6,3849.37
52,839.88,1630.44,4598.7
53,819.92,1796.88,4403.3
54,859.76,1853.08,4579.99
55,879.92,1784.32,4946.08
56,947.68,1873.88,4820.1
57,922.72,1746.4,5066.27
58,881.4,2013.4,5227.42
59,950.4,1947.04,5189.94
60,985.2,2086.56,5351.53
61,963.76,1919.6,5728.89
62,1054.92,2159.6,5852.15
63,1017.28,2139.44,6367.06
64,1069.68,2053.04,5945.07
65,1059.12,2322.24,6477.94
66,1043.84,2147.64,7060.35
67,1094.4,2246.88,6647.73
68,1117.32,2217.2,7011.32
69,1087.44,2264.56,6898.75
70,1074.72,2137.32,7320.54
71,1163.52,2260.56,7354.15
72,1215.76,2483.64,7384.76
73,1152.64,2499.84,8006.8
74,1181.48,2489.0,8181.56
75,1197.6,2446.88,8881.49
76,1254.8,2600.04,8447.13
77,1221.84,2445.36,9230.17
78,1262.72,2601.12,8619.3
79,1331.28,2684.24,9490.56
80,1337.48,2699.0,9420.89
81,1290.08,2752.8,9286.65
82,1318.84,2780.8,9926.7
83,1358.32,2677.6,10441.6
84,1357.28,2842.68,10625.21
85,1384.96,2482.72,10325.63
86,1331.48,2873.08,11305.03
87,1352.16,2985.28,11320.9
88,1411.6,3123.68,10766.42
89,1404.16,2862.88,11248.01
90,1502.52,3024.28,12054.1
91,1514.16,2876.16,11655.46
92,1544.72,2936.72,11735.23
93,1453.04,3066.96,12017.31
94,1562.8,3253.76,12374.64
95,1522.32,3104.72,12828.46
96,1519.24,3251.44,13010.91
97,1552.08,3211.68,13863.41
98,1622.08,3082.76,13321.5
99,1560.88,3313.12,14155.01
